efSearch,search_time,accuracy
10,0.0006623268127441406,0.2
10,0.0005486011505126953,0.8
10,0.0007197856903076172,1.0
10,0.0005755424499511719,1.0
10,0.00066375732421875,1.0
10,0.0007047653198242188,1.0
10,0.0006353855133056641,1.0
10,0.0005354881286621094,0.8
10,0.0006172657012939453,1.0
10,0.0004999637603759766,1.0
10,0.0006868839263916016,1.0
10,0.0006177425384521484,0.2
10,0.0006818771362304688,1.0
10,0.0005519390106201172,1.0
10,0.0008752346038818359,1.0
10,0.0009639263153076172,0.8
10,0.0007314682006835938,1.0
10,0.0009143352508544922,0.0
10,0.0005905628204345703,1.0
10,0.0004737377166748047,1.0
10,0.0008878707885742188,1.0
10,0.0006473064422607422,1.0
10,0.0006349086761474609,1.0
10,0.0013873577117919922,1.0
10,0.0005526542663574219,0.0
10,0.0012001991271972656,0.0
10,0.00054931640625,1.0
10,0.0006411075592041016,1.0
10,0.0010242462158203125,1.0
10,0.0006654262542724609,1.0
10,0.0007226467132568359,0.6
10,0.0007088184356689453,1.0
10,0.0008342266082763672,1.0
10,0.0009012222290039062,1.0
10,0.0005304813385009766,0.2
10,0.00064849853515625,1.0
10,0.0006680488586425781,1.0
10,0.0006916522979736328,1.0
10,0.0010552406311035156,0.0
10,0.0005872249603271484,1.0
10,0.0005125999450683594,1.0
10,0.0007727146148681641,1.0
10,0.0005764961242675781,0.4
10,0.0005757808685302734,1.0
10,0.0006153583526611328,0.6
10,0.0008502006530761719,1.0
10,0.0005326271057128906,1.0
10,0.0005946159362792969,1.0
10,0.0006439685821533203,1.0
10,0.0006775856018066406,0.6
10,0.0008919239044189453,0.0
10,0.0006337165832519531,0.8
10,0.0008897781372070312,1.0
10,0.0005631446838378906,0.8
10,0.0007171630859375,1.0
10,0.0006499290466308594,0.8
10,0.0006253719329833984,0.8
10,0.0005941390991210938,0.8
10,0.000514984130859375,1.0
10,0.0006823539733886719,0.0
10,0.0008296966552734375,1.0
10,0.00063323974609375,1.0
10,0.0005872249603271484,1.0
10,0.0008559226989746094,0.2
10,0.0005381107330322266,1.0
10,0.0005095005035400391,1.0
